全国書誌番号,ISBN,ISSN,タイトル・著者,版表示,シリーズ,出版事項,大きさ等
23575228,978-4-86641-418-8,,認識と実在 : AI時代の実在論 / 濱田利英 著,,,"[東京] : 東京図書出版, 2021.8",294p ; 20cm
23552236,978-4-86641-419-5,,平六と族 / 鈴木喜六 著,,,"[東京] : 東京図書出版, 2021.7",160p ; 19cm
23561024,978-4-86641-420-1,,国連タジキスタン監視団民政官の記録 : 国連ピースキーパー「この国の和平につくして死す」 / 登丸求己 著,,,"[東京] : 東京図書出版, 2021.7",275p ; 19cm
23552243,978-4-86641-421-8,,わが心のプロレス / 高木恭三 著,,,"[東京] : 東京図書出版, 2021.7",285p ; 19cm
23587229,978-4-86641-422-5,,スミレworld / 花野一明 著,,,"[東京] : 東京図書出版, 2021.9",318p ; 21cm
23581889,978-4-86641-423-2,,巴 / 林麻佐一 著,,,"[東京] : 東京図書出版, 2021.8",332p ; 19cm
23553533,978-4-86641-424-9,,昭和も遠くになりました / 秋山久雄 著,,,"[東京] : 東京図書出版, 2021.7",188p ; 20cm
23587503,978-4-86641-425-6,,高野祈りみち : 町石道をゆく / 山中典朝 著,,,"[東京] : 東京図書出版, 2021.8",335p ; 21cm
23553546,978-4-86641-426-3,,秩父の地名伝説の虚実(うそほんと) / 髙田哲郎 著,,,"[東京] : 東京図書出版, 2021.7",435p ; 20cm
23597225,978-4-86641-427-0,,これが我が国の古代史だ / 栗花落謙二郎 著,,,"[東京] : 東京図書出版, 2021.10",162p ; 22cm
23590932,978-4-86641-428-7,,日本的人間性の研究 : 変遷する日本のアイデンティティーと不変の西欧的ロゴスとの双方を見据えつつ / 徳武邦男 著,新訂,,"[東京] : 東京図書出版, 2021.9",209p ; 22cm
23596144,978-4-86641-430-0,,古文書「東遊日誌」に見る明治の旅 / 伊藤義文 著,,,"[東京] : 東京図書出版, 2021.8",110p ; 20cm
23563156,978-4-86641-431-7,,農の書置き : 一普及指導員の活動記録 / 畠山修一 著,,,"[東京] : 東京図書出版, 2021.7",171p ; 19cm
23568104,978-4-86641-432-4,,生きることの意味 : わたしたちはどう生きるのか / 北村博文 著,,,"[東京] : 東京図書出版, 2021.8",167p ; 19cm
23565383,978-4-86641-433-1,,ずくなし娘 / 一歩歩 著,,,"[東京] : 東京図書出版, 2021.8",325p ; 19cm
23562094,978-4-86641-435-5,,プラズマ流動工学 = Plasma Flow Engineering / 西山秀哉 著,,,"[東京] : 東京図書出版, 2021.7",115p ; 21cm
23570352,978-4-86641-436-2,,企業における人事とは : これから人事部門で活躍する人に / 横山俊宏 著,,,"[東京] : 東京図書出版, 2021.8",162p ; 19cm
23606618,978-4-86641-437-9,,堤中納言物語を楽しむ / 半澤トシ,,,"[東京] : 東京図書出版 , 2021.10",143 p ; 26 cm
23573515,978-4-86641-438-6,,千羽鶴アート = senbazuru ART / 瀬尾定代 作・文,,,"[東京] : 東京図書出版, 2021.8",63p ; 15×21cm
23575263,978-4-86641-439-3,,数学の無限 : カントールの無限を超えて / 山本泉二 著,,,"[東京] : 東京図書出版, 2021.8",83p ; 19cm
23605485,978-4-86641-440-9,,ゴルジリアン詩集 / ゴルジリアン 著,,,"[東京] : 東京図書出版, 2021.11",135p ; 21cm
23587819,978-4-86641-441-6,,傷弓の小鳥 / 酒井彩名 著,,,"[東京] : 東京図書出版, 2021.10",325p ; 20cm
23587280,978-4-86641-442-3,,黒い雪が降った時 / 小石川心 著,,,"[東京] : 東京図書出版, 2021.9",276p ; 19cm
23586482,978-4-86641-443-0,,復活 : それは蘇ること / 橘英明 著,,,"[東京] : 東京図書出版, 2021.9",172p ; 20cm
23617001,978-4-86641-445-4,,橋の博物館 / 武市修一 著,,,"[東京] : 東京図書出版, 2021.11",332p ; 21cm
23587646,978-4-86641-446-1,,湖雲ヶ城 / 仁科哲夫,,,"東京 : [東京] : リフレ出版 ; 東京図書出版 (発行所), 2021.9",280 p ; 20 cm
23608243,978-4-86641-447-8,,スピノザの宗教観 : 感謝の観念を中心として / 淺野章,,,"[東京] : 東京図書出版, 2021.9",143 p ; 20 cm
23574005,978-4-86641-448-5,,お笑い10行小説 / 柿井優嬉 著,,,"[東京] : 東京図書出版, 2021.8",163p ; 19cm
