全国書誌番号,ISBN,ISSN,タイトル・著者,版表示,シリーズ,出版事項,大きさ等
23516472,978-4-901916-92-9,,カール・S・シャウプ財政資料 = The Carl S. Shoup's materials of public finance and taxation. 日本関係資料 第13巻 / 横浜国立大学カール・S・シャウプ・コレクション編集委員会,,,"東京 : 蒼天社出版, 2021.1",450 p ; 27 cm
23605232,978-4-901916-93-6,,カール・S・シャウプ財政資料 = The Carl S. Shoup's materials of public finance and taxation. 日本関係資料 第14巻 / 横浜国立大学カール・S・シャウプ・コレクション編集委員会,,,"東京 : 蒼天社出版, 2021.6",467 p ; 27 cm
23603931,978-4-901916-94-3,,"The Carl S. Shoup's materials of public finance and taxation = カール・S・シャウプ財政資料. J-series volume 15 / The Editorial Committee of the Carl S. Shoup Collection, Yokohama National University",,,"Tokyo : Sotensha Publishing Company, 2021.6","22, 338 p ; 27 cm"
23502594,978-4-901933-44-5,,ドイツスポーツ科の形成過程 / 岡出美則 著,,,"東京 : 明和出版, 2021.2",465 p ; 22 cm
23558288,978-4-901933-45-2,,"わざの伝承 : 加藤澤男・金子明友の〈あいだ〉 / 金子一秀, 山口一郎 編著",,スポーツ運動学・現象学講座 ; 2,"東京 : 明和出版, 2021.6",242p ; 21cm
23575893,978-4-901955-05-8,,ガブリエーレ・バジリコ写真展 = Gabriele Basilico fotografie : 1978-2012 / イタリア文化会館 編集,,,"[Tokyo] : イタリア文化会館, [2021]",1冊 ; 24 cm
23551138,978-4-901979-47-4,,モンキーモンキーどこにいる? = Monkey Monkey Where Are You? : はじめてであう前置詞の絵本 / すなやまえみこ 絵・文,,,"東京 : ポトス出版, 2021.1",39p ; 19cm
23522264,978-4-901988-37-7,,転換する観光経験 : ポスト社会主義国キルギスにおけるソ連時代経験者の観光実践を中心に / Gulzat AKMATBEKOVA 著,,,"東京 : 立教大学出版会, 2021.3",172p ; 22cm
23546538,978-4-901988-38-4,,"Pacific Insularity : Imaginary Geography of Insular Spaces in the Pacific / Michael Heitkemper-Yates, Thomas Schwarz 編",,,"東京 : 立教大学出版会, 2021.3",296p ; 22cm
23505568,978-4-901997-29-4,,岐阜県現代陶芸美術館研究紀要. 第5号 / 岐阜県現代陶芸美術館 編集,,,"多治見 : 岐阜県現代陶芸美術館, 2021.3",55 p ; 30cm
23594454,978-4-902002-04-1,,地質冥利 : 天・地・人に感謝 / 中山輝也 著,,,"[新潟] : [中山輝也], 2013.1",263 p ; 21 cm
23581732,978-4-902002-05-8,,株式会社キタック創業40周年記念誌 : 天・地・人に恵まれて / キタックCGソリューションセンター 編集,,,"新潟 : キタック, 2014.7",127 p ; 26 cm
23581730,978-4-902002-06-5,,株式会社キタック技術の40年 : 年代で見る技術管理部門 : 40周年記念誌別冊 / キタックCGソリューションセンター 編集,,,"新潟 : キタック, 2014.3",71 p ; 26 cm
23594453,978-4-902002-08-9,,知足美術館おぼえがき : ミニ美術館. 続編 / 中山輝也 著,,,"[新潟] : [中山輝也], 2013.12",149 p ; 21 cm
23587936,978-4-902002-11-9,,追悼集 : 本田尚士さんを偲んで,,,"東京 : 本田尚士氏追悼集刊行会, 2018.1",151 p ; 21 cm
